Genes
IGHG1
APOB
IGHG3
IGHG3
SERPIND1
APOD
KNG1
APOD
IGHG3
IGHM
IGHM
IGHM
F2
IGHG4
APOB
CFHR2;CFHR1
IGHM
AFM
IGHM
IGHG3
JCHAIN
IGHM
CP
LINC00308
C4A;C4B_2
CFH
IGHM
APOH
HRG
IGHM
CFH
HPX
IGHG2
IGHA2;IGHA1
JCHAIN
OR14A2
PRICKLE1
TF
JCHAIN
IGHA2
ITIH2
IGHM
HPX
IGHM
